Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
915.75,914.1,914.1,901,906.7,906,908.12,2997245
906,912.6,936.85,911.1,931.3,933.85,928.05,6857905
933.85,934.1,952.9,934.1,943.35,945.45,946.83,3459497
945.45,948.95,953,934.25,939.6,938.85,942.7,1729109
938.85,945,955.9,937.3,952.25,951.85,949.45,3219213
951.85,952,958.65,943.65,947.5,946.8,947.83,1838452
946.8,936.55,954.7,936.55,952.5,951.05,947.09,2152963
951.05,960.5,967,931.5,936,934.6,951.69,4368279
934.6,934.65,940.8,928.15,938.6,937.75,935.29,1405741
937.75,933.55,960,933.55,959.6,958.25,950.55,4025919
958.25,955.25,955.95,943.95,951.35,949.2,948.28,3247038
949.2,947.5,957.85,947,954.6,954,953.65,2092020
954,955.1,956,932.05,946,944.5,942.51,2530136
944.5,943.25,943.25,921,924.6,925.6,926.27,2954066
925.6,925.3,931.75,910,911.45,911.35,915.92,4335560
911.35,912,918.9,898.6,900.25,900.55,906.48,4607486
900.55,901,901,884.1,886.05,887.55,890.99,5707528
887.55,891.3,893.3,865.2,866.9,868.75,874.93,5035618
868.75,875,875,828.1,833.15,833.25,847.35,6926078
833.25,839.9,855,837.3,848.95,848.65,848.14,3980489
848.65,853.35,858.15,834.15,846.7,845.8,842.78,4596259
845.8,846.55,872.7,845.9,870.75,870.5,863.74,4734842
870.5,874.15,879.7,855.6,868.5,871.4,866.87,7239303
871.4,866.7,881.8,861.85,872,871.55,874.41,3280025
871.55,878.9,878.9,862,871.5,871.1,868.86,2336039
871.1,875.7,888,872.1,887,885.25,879.81,2841435
885.25,888.7,902,887,895.05,898.5,895.72,4970476
898.5,907,907,856.7,859.9,861.95,870.02,6555284
861.95,874.4,879.4,865,868.6,868.4,870.02,3771511
868.4,869.3,869.3,844,845.4,845.95,853.31,7727430
845.95,848.85,858.5,840.7,852.55,852.9,850.04,6143838
852.9,858,874.9,855.25,871.9,870.7,864.21,4603204
870.7,873,874,852,854.3,854.85,858.61,4785969
854.85,854,859.95,847,852.8,853.3,854.56,2194126
853.3,847.5,857.4,845.7,847.5,847.75,849.72,2986757
847.75,853.05,869.7,851.1,867.6,865.45,860.62,3892719
865.45,863.3,877.9,859.35,864.9,867.55,867.88,3043021
945,869.7,869.7,869.7,869.7,869.7,869.7,162626
867.55,867.7,876,865,872.5,873.2,871.34,2332976
873.2,871.9,873.9,864.2,866,867.6,869,1504709
867.6,867.5,881.4,866,878.15,879.45,874.18,2245330
879.45,886,886.8,868.8,874.8,876.2,877.9,2555594
876.2,875.95,875.95,857.55,858,860.85,866.59,1802647
